,and,,just,then,is,it,one,have,no,three,to,you,#total,do,we,0000,that,here,two,a,on,i,of,up,this,so,can,the
4001 Game1-2,51,0,9,33,8,45,35,24,20,17,55,65,2029,12,39,0,50,16,27,12,25,78,34,5,0,39,42,30
4001 Game1-3,24,0,4,25,8,24,27,13,4,6,34,53,1355,11,45,0,27,20,13,8,2,48,12,1,0,31,16,30
4001 Game1-4,2,0,1,0,0,3,7,3,1,1,1,2,171,3,1,0,3,0,5,1,1,7,6,0,0,6,1,2
4052 Game1-1,50,0,37,34,15,38,46,41,10,16,42,56,1949,13,44,0,51,17,31,12,9,89,41,10,0,42,28,45
4052 Game1-2,22,0,5,18,3,20,19,5,6,10,16,17,942,5,16,0,15,10,17,10,5,45,16,9,0,23,6,18
4052 Game1-3,38,0,7,15,2,16,29,12,5,5,19,25,1031,6,22,0,22,8,9,7,4,54,19,3,0,18,21,12
4101 Game1-1,20,0,6,17,4,11,12,19,12,4,23,20,814,7,8,0,18,4,14,2,2,46,19,16,0,19,12,22
4101 Game1-2,18,0,0,2,1,1,2,5,3,3,12,18,437,2,2,0,7,1,3,0,4,24,13,6,0,14,9,16
4101 Game1-3,16,0,6,10,1,6,10,10,8,2,13,34,585,5,8,0,12,4,4,4,1,38,9,7,0,15,20,5
4101 Game1-4,6,0,4,3,1,6,4,5,1,3,6,16,320,4,1,0,5,1,5,0,0,19,6,6,0,2,7,6
4152 Game1-1,28,0,4,25,12,24,32,25,6,16,30,42,1182,9,14,0,22,12,20,2,6,53,29,12,0,42,16,30
4152 Game1-2,21,0,4,21,15,5,20,10,12,8,22,24,1125,15,7,0,33,4,17,7,4,66,16,13,0,46,11,16
4152 Game1-3,28,0,6,16,8,9,11,19,6,5,24,29,1014,13,24,0,24,6,13,3,10,44,27,5,0,27,9,43
4201 Game1-1,18,0,8,16,1,12,20,4,4,8,12,19,786,8,16,0,25,2,9,0,5,45,11,2,0,10,11,13
4201 Game1-2,18,0,6,18,16,15,23,13,5,14,15,27,920,10,15,0,32,3,23,6,6,41,27,6,0,26,14,15
4201 Game1-3,38,0,11,23,5,13,31,17,3,6,26,34,1230,16,19,0,30,6,13,3,11,50,18,8,0,33,21,27
4252 Game1-1,17,0,6,7,2,19,16,20,7,12,33,36,1022,13,13,0,22,7,10,5,9,56,14,6,0,24,29,10
4252 Game1-2,30,0,19,12,6,21,19,24,11,16,29,64,1598,20,60,0,24,21,24,9,11,58,24,12,0,57,33,45
4252 Game1-3,23,0,6,6,4,12,11,8,10,4,16,27,819,7,17,0,17,5,12,3,4,47,15,1,0,21,14,12
4252 Game1-4,76,0,35,36,19,57,39,41,11,15,69,128,3644,26,114,0,106,11,24,34,17,112,45,15,0,103,71,105
4352 Game1-1,47,0,10,39,9,58,39,23,9,28,36,71,2396,20,59,0,92,12,39,21,8,119,27,23,0,49,37,42
4352 Game1-2,77,0,37,55,15,48,44,50,13,18,85,126,2728,26,38,0,83,16,28,39,19,111,31,43,0,58,60,42
4352 Game1-3,31,0,11,21,7,28,38,12,3,11,33,42,1399,21,19,0,35,8,13,14,16,73,27,14,0,31,27,21
4401 Game1-1,32,0,8,12,5,13,9,9,10,9,19,33,959,5,12,0,21,11,18,6,7,37,8,6,0,23,6,20
4401 Game1-2,28,0,11,18,2,16,28,14,14,14,22,57,1214,20,28,0,30,7,19,8,12,42,7,10,0,32,31,21
4401 Game1-3,37,0,11,18,3,7,5,7,1,7,15,25,767,6,3,0,15,4,9,3,9,53,10,10,0,16,9,12
4452 Game1-1,39,0,28,46,29,109,37,31,37,9,50,96,3215,52,65,0,79,34,22,21,27,112,28,20,0,56,40,47
4452 Game1-2,58,0,23,37,14,55,30,38,23,13,50,127,2689,32,49,0,57,14,22,21,13,141,26,37,0,55,55,24
4452 Game1-3,43,0,33,32,11,42,28,17,23,18,27,82,1988,19,29,0,62,8,28,7,12,75,32,13,0,58,31,29
4452 Game1-4,19,0,8,15,12,20,25,14,17,7,17,47,1135,10,21,0,23,12,14,7,6,58,12,13,0,27,32,12
4501 Game1-1,34,0,9,15,11,25,31,15,5,8,21,47,1263,10,28,0,51,13,29,8,2,55,19,9,0,36,13,22
4501 Game1-2,51,0,10,27,7,18,18,20,18,14,39,68,1529,7,35,0,42,20,15,9,5,58,30,6,0,36,19,43
4501 Game1-3,5,0,2,4,0,7,5,5,2,2,4,16,370,1,9,0,10,5,3,2,4,19,6,4,0,12,12,10
4501 Game1-4,12,0,9,8,3,9,17,7,9,6,22,32,859,9,21,0,16,15,11,4,4,34,6,5,0,16,17,10
4552 Game1-1,17,0,4,5,12,21,13,16,6,5,18,35,968,15,19,0,23,3,14,3,4,58,16,9,0,23,24,12
4552 Game1-2,36,0,15,30,14,58,36,28,10,14,43,57,2068,19,16,0,52,6,28,20,18,120,31,6,0,58,32,45
4552 Game1-3,36,0,21,23,7,25,16,16,12,9,35,71,1485,17,23,0,31,14,10,9,5,80,16,14,0,29,40,24
4601 Game1-1,26,0,7,19,6,15,19,12,3,7,12,23,747,16,13,0,32,4,12,2,6,42,7,3,0,24,18,11
4601 Game1-2,45,0,3,19,6,19,10,14,9,14,33,42,1444,17,20,0,57,11,17,11,10,60,26,16,0,30,19,44
4601 Game1-3,36,0,26,34,7,24,41,23,20,5,35,101,1870,18,30,0,31,18,20,14,1,110,20,14,0,95,68,26
4652 Game1-1,33,0,5,13,9,18,29,9,1,12,27,24,1114,16,33,0,34,4,17,11,5,48,28,4,0,33,9,23
4652 Game1-2,52,0,13,28,8,27,40,21,5,10,41,88,1976,19,37,0,38,18,20,17,11,86,32,26,0,30,44,53
4652 Game1-3,19,0,2,9,3,7,15,9,5,8,18,10,695,4,15,0,17,4,8,11,2,26,10,7,0,11,8,23
4652 Game1-4,57,0,26,27,12,33,42,21,7,14,64,60,2193,16,68,0,91,12,26,14,16,71,53,18,0,35,39,51
4701 Game1-1,25,0,15,8,21,18,18,38,8,16,34,19,1572,17,45,0,53,25,16,11,12,69,20,9,0,47,18,27
4701 Game1-2,40,0,9,22,17,56,33,28,17,15,59,51,2651,17,49,0,76,21,35,28,21,141,34,24,0,31,23,94
4701 Game1-3,65,0,12,43,6,31,32,24,12,22,53,79,1742,19,32,0,31,17,18,7,15,78,22,15,0,62,48,30
4752 Game1-1,37,0,8,27,21,24,28,27,44,9,67,110,2533,42,49,0,74,8,22,13,7,110,20,11,0,58,35,44
4752 Game1-2,19,0,7,17,8,15,18,7,6,12,15,33,854,9,6,0,25,6,14,12,3,37,24,3,0,29,11,20
4752 Game1-3,25,0,36,17,8,34,21,10,26,10,35,63,1646,9,32,0,41,5,12,11,13,87,25,7,0,29,39,28
4752 Game1-4,34,0,27,18,11,32,32,23,6,15,51,54,1584,8,40,0,45,5,13,7,8,70,25,12,0,21,47,35
4801 Game1-1,46,0,38,28,12,33,44,21,8,24,37,47,1706,13,44,0,45,10,31,7,10,64,26,10,0,47,10,61
4801 Game1-2,49,0,24,40,15,43,50,30,11,13,62,73,1809,24,30,0,50,11,22,9,9,67,25,13,0,46,28,31
4801 Game1-3,39,0,18,20,3,24,54,17,2,23,32,54,1406,12,17,0,44,4,37,8,5,62,13,11,0,50,23,27
4852 Game1-1,35,0,10,25,10,24,27,18,9,7,30,45,1289,5,35,0,29,3,25,9,5,49,25,13,0,38,21,28
4852 Game1-2,8,0,6,7,4,14,5,6,1,5,16,11,491,4,6,0,10,1,6,6,5,37,12,7,0,11,16,14
4852 Game1-3,32,0,11,16,4,15,12,16,8,8,41,34,1021,5,21,0,17,10,5,7,9,53,16,12,0,34,27,21
4852 Game1-4,30,0,17,16,14,28,18,4,8,3,30,29,1193,10,17,0,49,4,12,13,6,36,15,12,0,33,16,33
4901 Game1-1,15,0,17,9,6,20,7,11,3,3,15,8,733,9,12,0,15,9,12,3,0,43,8,7,0,11,13,6
4901 Game1-2,18,0,8,3,4,16,29,2,11,5,22,40,856,6,17,0,20,6,11,2,1,41,12,6,0,23,17,12
4901 Game1-3,30,0,9,11,7,9,12,16,3,5,17,27,870,8,18,0,30,5,13,11,2,45,12,14,0,25,18,12
4952 Game1-1,25,0,2,15,6,11,15,9,5,9,18,31,847,5,8,0,22,2,20,7,10,26,12,10,0,30,19,33
4952 Game1-2,25,0,7,14,10,14,21,18,8,14,15,36,1171,10,23,0,47,13,19,5,6,43,29,7,0,23,17,29
4952 Game1-3,25,0,8,16,2,19,18,19,4,3,27,50,947,7,25,0,23,13,6,6,2,45,13,6,0,17,17,13
4952 Game1-4,28,0,5,14,6,17,21,10,3,7,13,25,866,7,23,0,37,1,14,10,5,33,7,1,0,17,16,12
5001 Game1-1,40,0,21,48,7,15,34,28,5,13,34,39,1831,5,36,0,34,13,30,19,5,51,36,16,0,97,16,52
5001 Game1-2,82,0,5,11,20,39,37,23,23,14,82,107,2315,7,19,0,42,29,30,27,24,69,37,30,0,66,57,41
5001 Game1-3,32,0,1,9,9,5,20,8,1,10,15,8,960,1,13,0,20,9,25,3,3,59,26,7,0,34,7,22
5052 Game1-1,21,0,18,14,8,28,35,13,8,7,29,43,1245,12,21,0,33,6,15,11,4,55,19,6,0,33,25,17
5052 Game1-2,25,0,2,9,2,18,14,3,7,8,10,22,681,9,6,0,30,1,10,6,0,29,13,7,0,10,6,8
5052 Game1-3,6,0,16,10,5,23,25,17,8,8,31,40,1028,14,27,0,31,11,24,4,1,50,14,8,0,24,22,15
5052 Game1-4,21,0,15,6,5,15,27,14,2,7,17,42,939,6,17,0,37,4,12,9,5,32,14,9,0,17,31,17
5101 Game1-1,15,0,7,6,0,5,4,1,1,4,5,6,248,1,1,0,5,2,4,0,0,19,3,1,0,3,2,1
5101 Game1-2,15,0,5,7,0,10,17,12,6,8,10,22,742,9,21,0,21,7,15,4,3,26,16,6,0,39,5,9
5101 Game1-3,20,0,11,3,5,6,13,9,1,6,18,16,645,5,26,0,17,3,7,4,2,34,13,4,0,13,4,13
5152 Game1-1,49,0,15,18,20,30,41,25,7,11,40,48,1951,17,58,0,72,11,12,19,9,52,35,7,0,36,21,66
5152 Game1-2,43,0,9,38,8,21,32,32,1,6,43,50,1323,10,20,0,31,3,19,11,12,53,25,9,0,38,17,42
5152 Game1-3,50,0,29,30,16,38,45,40,4,10,53,78,2392,30,83,0,66,13,23,15,10,92,27,13,0,70,52,57
5152 Game1-4,16,0,2,1,9,16,23,16,4,6,26,27,987,13,17,0,34,3,6,10,10,32,11,14,0,28,17,26
5201 Game1-1,48,0,20,27,23,54,24,32,15,7,51,62,1875,17,25,0,42,16,25,17,9,107,32,21,0,23,21,24
5201 Game1-2,15,0,7,7,10,12,18,0,0,3,14,17,582,5,3,0,25,3,7,9,2,42,12,11,0,15,4,7
5201 Game1-3,48,0,17,17,10,28,25,22,11,9,39,49,1534,19,31,0,44,14,11,6,7,71,19,14,0,31,18,29
5201 Game1-4,46,0,28,31,5,33,31,32,26,12,59,105,1960,18,35,0,44,16,20,16,10,71,38,15,0,25,47,33
5252 Game1-1,4,0,2,1,2,10,4,2,2,0,4,6,385,4,3,0,12,5,0,7,2,34,6,2,0,6,9,15
5252 Game1-2,33,0,20,10,10,27,17,13,10,11,36,41,1544,15,28,0,69,22,11,6,9,54,25,19,0,56,20,19
5252 Game1-3,48,0,8,26,8,25,31,16,11,7,35,50,1317,24,26,0,55,13,20,11,10,55,13,16,0,37,25,22
5252 Game1-4,40,0,8,23,14,26,34,18,12,10,51,52,1533,10,41,0,68,8,18,13,7,42,10,9,0,23,21,35
5301 Game1-1,79,0,20,30,9,56,27,20,19,20,52,103,2374,24,56,0,58,16,25,28,18,87,30,27,0,51,44,80
5301 Game1-2,6,0,4,9,2,11,13,7,0,6,9,20,543,4,6,0,14,2,5,3,5,27,8,3,0,9,8,16
5301 Game1-3,14,0,5,3,4,13,4,18,1,2,22,15,558,3,1,0,8,0,6,9,5,47,4,6,0,9,13,16
5301 Game1-4,17,0,9,10,6,16,10,6,12,5,24,37,1027,6,11,0,42,2,9,15,1,40,10,12,0,11,18,15
5352 Game1-1,16,0,0,10,1,3,11,12,3,1,5,3,425,4,8,0,12,1,8,2,0,24,7,5,0,19,3,19
5352 Game1-2,38,0,7,33,6,24,20,24,2,12,23,33,869,4,9,0,20,16,21,2,6,28,19,15,0,31,9,22
5352 Game1-3,26,0,4,14,5,19,14,14,2,1,37,29,894,7,12,0,26,12,6,7,9,54,12,10,0,21,15,24
5401 Game1-1,49,0,15,32,7,36,32,22,11,11,40,54,1497,6,26,0,42,18,10,7,9,52,35,16,0,54,14,39
5401 Game1-2,28,0,9,26,15,28,43,20,10,9,19,16,1028,7,13,0,26,14,15,4,8,65,31,9,0,15,11,19
5401 Game1-3,19,0,11,3,3,15,6,3,7,11,10,28,808,7,7,0,17,10,9,4,5,46,16,18,0,8,12,13
5452 Game1-1,26,0,23,32,6,34,30,20,2,3,26,45,1411,13,35,0,36,5,11,9,10,72,19,9,0,46,32,19
5452 Game1-2,17,0,21,8,13,23,18,8,14,5,16,29,1014,17,16,0,24,4,8,3,5,51,15,7,0,38,26,17
5452 Game1-3,27,0,11,10,9,18,29,15,5,12,38,67,1678,17,39,0,26,11,23,16,15,91,25,11,0,43,13,41
5452 Game1-4,37,0,21,18,5,18,18,17,5,7,35,54,1402,22,18,0,49,2,15,5,9,86,22,13,0,53,18,20
5501 Game1-1,55,0,14,39,6,17,30,33,10,10,39,56,1308,20,18,0,18,12,26,2,12,64,23,10,0,33,20,21
5501 Game1-2,28,0,14,15,8,24,24,22,3,8,47,52,1539,10,33,0,30,3,22,11,9,72,14,15,0,45,31,28
5501 Game1-3,26,0,10,13,3,15,11,24,2,6,24,34,956,7,24,0,22,15,9,1,7,56,19,4,0,15,24,29
5552 Game1-1,27,0,3,15,10,30,15,21,13,8,33,46,1398,7,24,0,32,8,9,13,7,82,17,14,0,27,33,29
5552 Game1-2,55,0,33,18,31,80,48,40,30,12,70,144,3116,25,51,0,77,14,27,27,34,150,30,34,0,118,101,56
5552 Game1-3,20,0,12,10,10,36,32,22,20,3,29,66,1346,20,20,0,20,12,8,12,10,77,10,12,0,23,44,22
5552 Game1-4,21,0,14,11,14,32,20,32,9,5,40,74,1502,12,36,0,36,9,9,18,8,85,11,11,0,13,28,26
